,Al Franken (D-MN),Amy Klobuchar (D-MN),Angus King (I-ME),Barbara Boxer (D-CA),Barbara Mikulski (D-MD),Ben Cardin (D-MD),Ben Sasse (R-NE),Bernie Sanders (I-VT),Bill Cassidy (R-LA),Bill Nelson (D-FL),Bob Casey (D-PA),Bob Corker (R-TN),Brian Schatz (D-HI),Charles Schumer (D-NY),Christopher Coons (D-DE),Christopher Murphy (D-CT),Chuck Grassley (R-IA),Claire McCaskill (D-MO),Cory Booker (D-NJ),Cory Gardner (R-CO),Dan Coats (R-IN),Dan Sullivan (R-AK),David Perdue (R-GA),David Vitter (R-LA),Dean Heller (R-NV),Deb Fischer (R-NE),Debbie Stabenow (D-MI),Dianne Feinstein (D-CA),Edward Markey (D-MA),Elizabeth Warren (D-MA),Gary Peters (D-MI),Harry Reid (D-NV),Heidi Heitkamp (D-ND),James  Risch (R-ID),James Lankford (R-OK),Jeanne Shaheen (D-NH),Jeff Flake (R-AZ),Jeff Merkley (D-OR),Jefferson Sessions (R-AL),Jerry Moran (R-KS),Jim Inhofe (R-OK),Joe Donnelly (D-IN),Joe Manchin (D-WV),John Barrasso (R-WY),John Boozman (R-AR),John Cornyn (R-TX),John Hoeven (R-ND),John McCain (R-AZ),John Reed (D-RI),John Thune (R-SD),Johnny Isakson (R-GA),Jon Tester (D-MT),Joni Ernst (R-IA),Kelly Ayotte (R-NH),Kirsten Gillibrand (D-NY),Lamar Alexander (R-TN),Lindsey Graham (R-SC),Lisa Murkowski (R-AK),Marco Rubio (R-FL),Maria Cantwell (D-WA),Mark Kirk (R-IL),Mark Warner (D-VA),Martin Heinrich (D-NM),Mazie Hirono (D-HI),Michael Bennet (D-CO),Mike Crapo (R-ID),Mike Enzi (R-WY),Mike Lee (R-UT),Mike Rounds (R-SD),Mitch McConnell (R-KY),Orrin Hatch (R-UT),Pat Roberts (R-KS),Pat Toomey (R-PA),Patrick Leahy (D-VT),Patty Murray (D-WA),Rand Paul (R-KY),Richard Blumenthal (D-CT),Richard Burr (R-NC),Richard Durbin (D-IL),Richard Shelby (R-AL),Rob Portman (R-OH),Robert Menendez (D-NJ),Roger Wicker (R-MS),Ron Johnson (R-WI),Ron Wyden (D-OR),Roy Blunt (R-MO),Sheldon Whitehouse (D-RI),Shelley Capito (R-WV),Sherrod  Brown (D-OH),Steve Daines (R-MT),Susan Collins (R-ME),Tammy Baldwin (D-WI),Ted Cruz (R-TX),Thad Cochran (R-MS),Thomas Carper (D-DE),Thomas Tillis (R-NC),Timothy Kaine (D-VA),Timothy Scott (R-SC),Tom Cotton (R-AR),Tom Udall (D-NM),subjects,title,voteDate,voteResult
158,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,"[u'Abortion', u'Accounting and auditing', u'Advisory bodies', u'Appropriations', u'Child safety and welfare', u'Computer security and identity theft', u'Computers and information technology', u'Congressional oversight', u'Crime and Law Enforcement', u'Crime prevention', u'Crime victims', u'Crimes against children', u'Criminal investigation, prosecution, interrogation', u'Criminal justice information and records', u'Criminal procedure and sentencing', u'Department of Homeland Security', u'Domestic violence and child abuse', u'Evidence and witnesses', u'Executive agency funding and structure', u'Fraud offenses and financial crimes', u'Government studies and investigations', u'Government trust funds', u'Homelessness and emergency shelter', u'Housing and community development funding', u'Human rights', u'Human trafficking', u'Intellectual property', u'Internet and video services', u'Law enforcement administration and funding', u'Law enforcement officers', u'Pornography', u'Public participation and lobbying', u'Research administration and funding', u'Research and development', u'Sex offenses', u'Smuggling and trafficking', u""Veterans' education, employment, rehabilitation"", u'Violent crime', u'Youth employment and child labor']",Amendment to S. 178,"April 22, 2015,  02:32 PM",Amendment Rejected
159,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,"[u'Abortion', u'Accounting and auditing', u'Advisory bodies', u'Appropriations', u'Child safety and welfare', u'Computer security and identity theft', u'Computers and information technology', u'Congressional oversight', u'Crime and Law Enforcement', u'Crime prevention', u'Crime victims', u'Crimes against children', u'Criminal investigation, prosecution, interrogation', u'Criminal justice information and records', u'Criminal procedure and sentencing', u'Department of Homeland Security', u'Domestic violence and child abuse', u'Evidence and witnesses', u'Executive agency funding and structure', u'Fraud offenses and financial crimes', u'Government studies and investigations', u'Government trust funds', u'Homelessness and emergency shelter', u'Housing and community development funding', u'Human rights', u'Human trafficking', u'Intellectual property', u'Internet and video services', u'Law enforcement administration and funding', u'Law enforcement officers', u'Pornography', u'Public participation and lobbying', u'Research administration and funding', u'Research and development', u'Sex offenses', u'Smuggling and trafficking', u""Veterans' education, employment, rehabilitation"", u'Violent crime', u'Youth employment and child labor']",Amendment to S. 178,"April 22, 2015,  02:53 PM",Amendment Agreed to
160,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,"[u'Abortion', u'Accounting and auditing', u'Advisory bodies', u'Appropriations', u'Child safety and welfare', u'Computer security and identity theft', u'Computers and information technology', u'Congressional oversight', u'Crime and Law Enforcement', u'Crime prevention', u'Crime victims', u'Crimes against children', u'Criminal investigation, prosecution, interrogation', u'Criminal justice information and records', u'Criminal procedure and sentencing', u'Department of Homeland Security', u'Domestic violence and child abuse', u'Evidence and witnesses', u'Executive agency funding and structure', u'Fraud offenses and financial crimes', u'Government studies and investigations', u'Government trust funds', u'Homelessness and emergency shelter', u'Housing and community development funding', u'Human rights', u'Human trafficking', u'Intellectual property', u'Internet and video services', u'Law enforcement administration and funding', u'Law enforcement officers', u'Pornography', u'Public participation and lobbying', u'Research administration and funding', u'Research and development', u'Sex offenses', u'Smuggling and trafficking', u""Veterans' education, employment, rehabilitation"", u'Violent crime', u'Youth employment and child labor']",Amendment to S. 178,"April 22, 2015,  03:12 PM",Amendment Agreed to
161,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,"[u'Abortion', u'Accounting and auditing', u'Advisory bodies', u'Appropriations', u'Child safety and welfare', u'Computer security and identity theft', u'Computers and information technology', u'Congressional oversight', u'Crime and Law Enforcement', u'Crime prevention', u'Crime victims', u'Crimes against children', u'Criminal investigation, prosecution, interrogation', u'Criminal justice information and records', u'Criminal procedure and sentencing', u'Department of Homeland Security', u'Domestic violence and child abuse', u'Evidence and witnesses', u'Executive agency funding and structure', u'Fraud offenses and financial crimes', u'Government studies and investigations', u'Government trust funds', u'Homelessness and emergency shelter', u'Housing and community development funding', u'Human rights', u'Human trafficking', u'Intellectual property', u'Internet and video services', u'Law enforcement administration and funding', u'Law enforcement officers', u'Pornography', u'Public participation and lobbying', u'Research administration and funding', u'Research and development', u'Sex offenses', u'Smuggling and trafficking', u""Veterans' education, employment, rehabilitation"", u'Violent crime', u'Youth employment and child labor']",Amendment to S. 178,"April 22, 2015,  03:32 PM",Amendment Agreed to
162,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,"[u'Abortion', u'Accounting and auditing', u'Advisory bodies', u'Appropriations', u'Child safety and welfare', u'Computer security and identity theft', u'Computers and information technology', u'Congressional oversight', u'Crime and Law Enforcement', u'Crime prevention', u'Crime victims', u'Crimes against children', u'Criminal investigation, prosecution, interrogation', u'Criminal justice information and records', u'Criminal procedure and sentencing', u'Department of Homeland Security', u'Domestic violence and child abuse', u'Evidence and witnesses', u'Executive agency funding and structure', u'Fraud offenses and financial crimes', u'Government studies and investigations', u'Government trust funds', u'Homelessness and emergency shelter', u'Housing and community development funding', u'Human rights', u'Human trafficking', u'Intellectual property', u'Internet and video services', u'Law enforcement administration and funding', u'Law enforcement officers', u'Pornography', u'Public participation and lobbying', u'Research administration and funding', u'Research and development', u'Sex offenses', u'Smuggling and trafficking', u""Veterans' education, employment, rehabilitation"", u'Violent crime', u'Youth employment and child labor']",S. 178,"April 22, 2015,  04:06 PM",Bill Passed
163,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,[],PN4,"April 23, 2015,  11:44 AM",Cloture Motion Agreed to
164,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,[],PN4,"April 23, 2015,  01:37 PM",Nomination Confirmed
165,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,[],PN43,"April 27, 2015,  05:31 PM",Nomination Confirmed
166,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Arms control and nonproliferation', u'Comprehensive health care', u'Congressional oversight', u'Diplomacy, foreign officials, Americans abroad', u'Employee benefits and pensions', u'First responders and emergency personnel', u'Foreign and international banking', u'Fraud offenses and financial crimes', u'Health care costs and insurance', u'Health care coverage and access', u'International Affairs', u'International law and treaties', u'Iran', u'Legislative rules and procedure', u'Middle East', u'Nuclear power', u'Nuclear weapons', u'Sales and excise taxes', u'Sanctions', u'Social work, volunteer service, charitable organizations', u'State and local government operations', u'Tax-exempt organizations', u'Terrorism', u'Trade restrictions']",Amendment to H.R. 1191,"April 28, 2015,  06:10 PM",Amendment Rejected
167,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Arms control and nonproliferation', u'Comprehensive health care', u'Congressional oversight', u'Diplomacy, foreign officials, Americans abroad', u'Employee benefits and pensions', u'First responders and emergency personnel', u'Foreign and international banking', u'Fraud offenses and financial crimes', u'Health care costs and insurance', u'Health care coverage and access', u'International Affairs', u'International law and treaties', u'Iran', u'Legislative rules and procedure', u'Middle East', u'Nuclear power', u'Nuclear weapons', u'Sales and excise taxes', u'Sanctions', u'Social work, volunteer service, charitable organizations', u'State and local government operations', u'Tax-exempt organizations', u'Terrorism', u'Trade restrictions']",Amendment to H.R. 1191,"April 29, 2015,  05:25 PM",Amendment Rejected
168,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,[],PN209,"May 4, 2015,  05:31 PM",Nomination Confirmed
169,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Nay,"[u'Blood and blood diseases', u'Commemorative events and holidays', u'Congressional tributes', u'Health', u'Organ and tissue donation and transplantation', u'Social work, volunteer service, charitable organizations']",S.Con.Res. 11,"May 5, 2015,  10:18 AM",Motion to Proceed Agreed to
170,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Blood and blood diseases', u'Commemorative events and holidays', u'Congressional tributes', u'Health', u'Organ and tissue donation and transplantation', u'Social work, volunteer service, charitable organizations']",S.Con.Res. 11,"May 5, 2015,  05:30 PM",Conference Report Agreed to
171,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,"[u'Administrative law and regulatory procedures', u'Congressional oversight', u'Labor and Employment', u'Labor-management relations', u'National Labor Relations Board (NLRB)']",S.J.Res. 8,"May 5, 2015,  05:59 PM",Motion to Table Agreed to
172,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,"[u'Arms control and nonproliferation', u'Comprehensive health care', u'Congressional oversight', u'Diplomacy, foreign officials, Americans abroad', u'Employee benefits and pensions', u'First responders and emergency personnel', u'Foreign and international banking', u'Fraud offenses and financial crimes', u'Health care costs and insurance', u'Health care coverage and access', u'International Affairs', u'International law and treaties', u'Iran', u'Legislative rules and procedure', u'Middle East', u'Nuclear power', u'Nuclear weapons', u'Sales and excise taxes', u'Sanctions', u'Social work, volunteer service, charitable organizations', u'State and local government operations', u'Tax-exempt organizations', u'Terrorism', u'Trade restrictions']",Amendment to H.R. 1191,"May 7, 2015,  02:01 PM",Cloture Motion Agreed to
173,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,"[u'Arms control and nonproliferation', u'Comprehensive health care', u'Congressional oversight', u'Diplomacy, foreign officials, Americans abroad', u'Employee benefits and pensions', u'First responders and emergency personnel', u'Foreign and international banking', u'Fraud offenses and financial crimes', u'Health care costs and insurance', u'Health care coverage and access', u'International Affairs', u'International law and treaties', u'Iran', u'Legislative rules and procedure', u'Middle East', u'Nuclear power', u'Nuclear weapons', u'Sales and excise taxes', u'Sanctions', u'Social work, volunteer service, charitable organizations', u'State and local government operations', u'Tax-exempt organizations', u'Terrorism', u'Trade restrictions']",H.R. 1191,"May 7, 2015,  02:24 PM",Bill Passed
174,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,"[u'Armed Forces and National Security', u'Congressional tributes', u'Minority health', u'Racial and ethnic relations', u""Veterans' medical care"", u""Veterans' organizations and recognition""]",S.Con.Res. 16,"May 11, 2015,  05:33 PM",Concurrent Resolution Agreed to
